# Unicode Default_Ignorable_Code_Point, one range per line, hex, inclusive.
#
# HARVESTED, NOT HAND-WRITTEN. Regenerate with:
#   python3 scripts/derive-ignorable.py --from DerivedCoreProperties.txt --emit
# and check a committed copy against a fresh download with `--check`.
#
# These are the code points that render as NOTHING by specification.
# `scripts/decoding.py` drops them before tokenising, on the rule that a
# character with no visual width is not a separator. Four of them are
# alphanumeric to Python -- the Hangul fillers U+115F, U+1160, U+3164 and
# U+FFA0 -- which is why a category test could not do this job.
#
# DerivedCoreProperties 17.0.0
00AD	00AD
034F	034F
061C	061C
115F	1160
17B4	17B5
180B	180D
180E	180E
180F	180F
200B	200F
202A	202E
2060	2064
2065	2065
2066	206F
3164	3164
FE00	FE0F
FEFF	FEFF
FFA0	FFA0
FFF0	FFF8
1BCA0	1BCA3
1D173	1D17A
E0000	E0000
E0001	E0001
E0002	E001F
E0020	E007F
E0080	E00FF
E0100	E01EF
E01F0	E0FFF
